table,outcome,outcome_label,engagement_tier,variable,variable_label,beta,se_hc3,t,p,sig,percent_change_approx,nobs,r2
dimension_ols_hc3,like,点赞,low_cost,auth_z,权威线索,-0.36613665967598,0.03861094035360561,-9.482718015226713,2.477442608758865e-21,***,-30.659196618276074,3325,0.5209870393959639
dimension_ols_hc3,coin,投币,high_cost,clip_sim_z,CLIP图文相似度,-0.11095691994759778,0.040576429942664936,-2.734516567977554,0.006247195136903676,**,-10.502269623230209,3325,0.531663937856723
dimension_ols_hc3,coin,投币,high_cost,emotion_z,情感强度,0.16904473419547272,0.039937659472937426,4.232715097138351,2.3088691475886725e-05,***,18.41731107705449,3325,0.531663937856723
dimension_ols_hc3,coin,投币,high_cost,fear_z,恐惧诉求,0.03626353075535656,0.03870522088651587,0.9369157422375038,0.3488019008802016,,3.692907318943206,3325,0.531663937856723
dimension_ols_hc3,coin,投币,high_cost,text_z,文字覆盖强度,0.06742206845102142,0.0427051425036233,1.578781020231955,0.11438629347621486,,6.9746889317257255,3325,0.531663937856723
dimension_ols_hc3,coin,投币,high_cost,suspense_z,视觉悬念,0.048609293499854454,0.03678212704706177,1.3215465608516912,0.186319188307828,,4.9810102970862635,3325,0.531663937856723
dimension_ols_hc3,coin,投币,high_cost,info_gap_z,信息缺口,-0.0350068075699188,0.038993069053825734,-0.897769999114347,0.36930818208617366,,-3.4401157146444206,3325,0.531663937856723
dimension_ols_hc3,coin,投币,high_cost,rep_z,图文代表性,-0.10431962677766529,0.037608015616116215,-2.773866822501559,0.00553943500350247,**,-9.906271228630104,3325,0.531663937856723
dimension_ols_hc3,coin,投币,high_cost,auth_z,权威线索,-0.31117020724545724,0.037217901830147615,-8.360767048759316,6.231177820038644e-17,***,-26.74108267282437,3325,0.531663937856723
dimension_ols_hc3,favorites,收藏,high_cost,clip_sim_z,CLIP图文相似度,-0.11831846625325135,0.041560061741365346,-2.8469271049106077,0.004414346923555955,**,-11.158692202620967,3325,0.46042259900595883
dimension_ols_hc3,favorites,收藏,high_cost,emotion_z,情感强度,0.1105969375806699,0.04091849137101009,2.70285960882286,0.006874577584114015,**,11.694461771336574,3325,0.46042259900595883
dimension_ols_hc3,favorites,收藏,high_cost,fear_z,恐惧诉求,0.05343211732488266,0.03943032769067537,1.355102035774318,0.17538505018998507,,5.4885380895452585,3325,0.46042259900595883
dimension_ols_hc3,favorites,收藏,high_cost,text_z,文字覆盖强度,0.0705765797174582,0.0442799639155415,1.5938716628602998,0.11096478248679328,,7.312674602715008,3325,0.46042259900595883
dimension_ols_hc3,favorites,收藏,high_cost,suspense_z,视觉悬念,0.05260651726065524,0.04339660508284512,1.2122265592026884,0.22542566747620818,,5.401482687141046,3325,0.46042259900595883
dimension_ols_hc3,favorites,收藏,high_cost,info_gap_z,信息缺口,-0.0701611218491514,0.040700975666557004,-1.7238191640403615,0.08474049388088348,+,-6.775639700851388,3325,0.46042259900595883
dimension_ols_hc3,favorites,收藏,high_cost,rep_z,图文代表性,-0.0761063106031335,0.039660350328951405,-1.9189520508994884,0.054990402364326334,+,-7.328231859330403,3325,0.46042259900595883
dimension_ols_hc3,favorites,收藏,high_cost,auth_z,权威线索,-0.39139360404540147,0.03869206610506303,-10.115603622267818,4.711039884624496e-24,***,-32.38860175394221,3325,0.46042259900595883
dimension_ols_hc3,share,转发,diffusion,clip_sim_z,CLIP图文相似度,-0.08510233754482635,0.04246776542546463,-2.0039278424995035,0.04507779054051831,*,-8.158170908100804,3325,0.452392211470909
dimension_ols_hc3,share,转发,diffusion,emotion_z,情感强度,0.11916630810503327,0.04082492651710308,2.9189595247675477,0.0035120182099236653,**,12.65572583126804,3325,0.452392211470909
dimension_ols_hc3,share,转发,diffusion,fear_z,恐惧诉求,0.04449597976709081,0.04035655543262864,1.1025712995097547,0.2702133796220353,,4.550077354539028,3325,0.452392211470909
dimension_ols_hc3,share,转发,diffusion,text_z,文字覆盖强度,-0.041825390697638215,0.04469874434959383,-0.9357173519353743,0.34941873418826086,,-4.096277722601627,3325,0.452392211470909
dimension_ols_hc3,share,转发,diffusion,suspense_z,视觉悬念,0.024713711969939954,0.04821823598260255,0.51253869965,0.6082740428589217,,2.5021627092215892,3325,0.452392211470909
dimension_ols_hc3,share,转发,diffusion,info_gap_z,信息缺口,-0.03390431745199063,0.039791085950789555,-0.8520581090428341,0.39418184092106623,,-3.333600691340166,3325,0.452392211470909
dimension_ols_hc3,share,转发,diffusion,rep_z,图文代表性,-0.04121504912859669,0.03980379951990299,-1.0354551481445393,0.3004564023669879,,-4.037725827759864,3325,0.452392211470909
dimension_ols_hc3,share,转发,diffusion,auth_z,权威线索,-0.3050760251827475,0.03875712139525751,-7.87148307717399,3.5046155602371077e-15,***,-26.293266341744847,3325,0.452392211470909
