table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs,subset
robust_post2022,coin,high_cost,emotion_z,情感强度,1.113605386442876,0.10760284755010976,0.06806401085915849,1.580906652309501,0.11389938306731343,,11.36053864428761,2851,post2022
robust_post2022,coin,high_cost,fear_z,恐惧诉求,0.9770010397085991,-0.023267562755069963,0.08391411853371991,-0.27727828357894463,0.7815664332637997,,-2.2998960291400916,2851,post2022
robust_post2022,coin,high_cost,text_z,文字覆盖强度,1.0565785296734258,0.0550358853385405,0.09230282173510741,0.5962535522097433,0.5510058551662115,,5.65785296734258,2851,post2022
robust_post2022,coin,high_cost,suspense_z,视觉悬念,1.0189791687502647,0.0188013111957761,0.030088502324511025,0.624866967222226,0.5320583740574637,,1.897916875026473,2851,post2022
robust_post2022,coin,high_cost,info_gap_z,信息缺口,0.9711038408188982,-0.029321874267728355,0.06253100012257062,-0.46891740433149726,0.639128675403131,,-2.8896159181101777,2851,post2022
robust_post2022,coin,high_cost,rep_z,图文代表性,0.8704113807756629,-0.1387893276262541,0.08040668339457827,-1.7260919337410763,0.0843308747622855,+,-12.958861922433707,2851,post2022
robust_post2022,coin,high_cost,auth_z,权威线索,0.8894191185990767,-0.11718670507285331,0.10029974185223761,-1.1683649719208022,0.24265957788636117,,-11.058088140092327,2851,post2022
robust_post2022,coin,high_cost,clip_sim_z,CLIP图文相似度,0.8651106292893516,-0.1448978850959446,0.07584984356325174,-1.9103254309959543,0.05609132536500792,+,-13.488937071064843,2851,post2022
robust_post2022,favorites,high_cost,emotion_z,情感强度,1.0410741721841767,0.04025303799199117,0.0661731093304817,0.608299026587363,0.5429891665214576,,4.107417218417675,2851,post2022
robust_post2022,favorites,high_cost,fear_z,恐惧诉求,0.9213074296086049,-0.08196149863339863,0.077324674899889,-1.059965641491708,0.2891602306469667,,-7.8692570391395105,2851,post2022
robust_post2022,favorites,high_cost,text_z,文字覆盖强度,1.0639943890460926,0.0620301174526275,0.07193662269297164,0.8622884301557289,0.3885288178868429,,6.399438904609256,2851,post2022
robust_post2022,favorites,high_cost,suspense_z,视觉悬念,1.0261199836920512,0.02578468308089886,0.029919026028902746,0.861815590386867,0.38878900431015107,,2.611998369205115,2851,post2022
robust_post2022,favorites,high_cost,info_gap_z,信息缺口,0.9908792439376146,-0.009162604813815544,0.0617326327123322,-0.14842400868455347,0.8820081537236858,,-0.9120756062385382,2851,post2022
robust_post2022,favorites,high_cost,rep_z,图文代表性,0.8653506816889269,-0.14462044185050207,0.06947145331191813,-2.081724722256412,0.037367621127746525,*,-13.464931831107307,2851,post2022
robust_post2022,favorites,high_cost,auth_z,权威线索,0.7454326358185623,-0.2937905099351855,0.08851997286308382,-3.3189177587028755,0.0009036703955244424,***,-25.456736418143766,2851,post2022
robust_post2022,favorites,high_cost,clip_sim_z,CLIP图文相似度,0.8636146815814173,-0.14662858004433094,0.07446626156568095,-1.9690605780579056,0.04894613510502812,*,-13.63853184185827,2851,post2022
robust_post2022,share,diffusion,emotion_z,情感强度,1.0152109235667672,0.015096397374698362,0.06443662961680724,0.23428285222976208,0.8147653974522536,,1.5210923566767232,2851,post2022
robust_post2022,share,diffusion,fear_z,恐惧诉求,0.93576581544195,-0.06639003098648424,0.08511786641825894,-0.7799776213874021,0.4354040475629235,,-6.423418455804997,2851,post2022
robust_post2022,share,diffusion,text_z,文字覆盖强度,0.9576207036909642,-0.04330350457634735,0.0782061026247514,-0.553710044651199,0.5797772998453988,,-4.237929630903581,2851,post2022
robust_post2022,share,diffusion,suspense_z,视觉悬念,1.1008463054337851,0.09607925256820622,0.054752756274398094,1.7547838520986392,0.07929628670389142,+,10.084630543378514,2851,post2022
robust_post2022,share,diffusion,info_gap_z,信息缺口,0.9897708595071373,-0.010281817686649458,0.064920943575399,-0.15837443389448252,0.8741617583100596,,-1.022914049286272,2851,post2022
robust_post2022,share,diffusion,rep_z,图文代表性,0.9657512525352835,-0.03484898048055997,0.0676879962531126,-0.5148472758780691,0.6066597464137751,,-3.424874746471651,2851,post2022
robust_post2022,share,diffusion,auth_z,权威线索,0.7763557695616986,-0.25314439793228805,0.08254522829971796,-3.0667356932266547,0.0021641012031666106,**,-22.36442304383014,2851,post2022
robust_post2022,share,diffusion,clip_sim_z,CLIP图文相似度,0.8140441623600511,-0.20574066093768914,0.08476585925758337,-2.427164223186743,0.015217365853366305,*,-18.595583763994895,2851,post2022
robust_drop_top5pct_follower,play,exposure,emotion_z,情感强度,1.1891133494424677,0.17320794490789726,0.050137917858458746,3.454629795295247,0.0005510489023717838,***,18.91133494424677,3158,drop_top5pct_follower
robust_drop_top5pct_follower,play,exposure,fear_z,恐惧诉求,1.0608336722109886,0.05905508222602922,0.0518931963013523,1.138012040790216,0.25511545454849793,,6.0833672210988565,3158,drop_top5pct_follower
